iter	Passed	Remaining
401	11434	2787
402	11463	2759
403	11490	2730
404	11516	2701
405	11546	2673
406	11576	2645
407	11604	2616
408	11633	2588
409	11659	2559
410	11685	2530
411	11711	2501
412	11737	2472
413	11763	2443
414	11790	2414
415	11820	2386
416	11848	2358
417	11877	2329
418	11903	2301
419	11931	2272
420	11957	2243
421	11984	2215
422	12011	2186
423	12040	2158
424	12065	2129
425	12095	2101
426	12124	2072
427	12150	2044
428	12177	2015
429	12209	1987
430	12245	1960
431	12282	1933
432	12316	1905
433	12351	1878
434	12385	1850
435	12417	1822
436	12451	1795
437	12512	1771
438	12540	1742
439	12569	1714
440	12599	1685
441	12630	1657
442	12665	1629
443	12696	1601
444	12731	1573
445	12771	1546
446	12805	1518
447	12839	1490
448	12872	1462
449	12910	1434
450	12945	1406
451	12979	1378
452	13014	1350
453	13049	1322
454	13087	1294
455	13124	1266
456	13158	1238
457	13191	1209
458	13230	1181
459	13264	1153
460	13300	1125
461	13333	1096
462	13367	1068
463	13401	1039
464	13435	1011
465	13466	982
466	13495	953
467	13526	924
468	13555	895
469	13586	867
470	13618	838
471	13650	809
472	13681	780
473	13715	752
474	13745	723
475	13775	694
476	13807	665
477	13841	637
478	13876	608
479	13909	579
480	13937	550
481	13966	521
482	13997	492
483	14026	463
484	14054	434
485	14085	405
486	14121	376
487	14149	347
488	14180	318
489	14210	290
490	14236	260
491	14264	231
492	14294	202
493	14319	173
494	14344	144
495	14372	115
496	14398	86
497	14427	57
498	14453	28
499	14482	0
