iter	RMSE
0	0.380581495
1	0.3691737265
2	0.3579008052
3	0.3471518627
4	0.3370075047
5	0.3263413468
6	0.3172543928
7	0.3087588989
8	0.3001980005
9	0.2922412202
10	0.2847875391
11	0.2777958508
12	0.2705825555
13	0.2645802262
14	0.2583416295
15	0.2520581589
16	0.2464830352
17	0.2408556313
18	0.2350572952
19	0.230341791
20	0.2252622319
21	0.220587376
22	0.2159439092
23	0.2115737213
24	0.2080559083
25	0.2038481066
26	0.2002610893
27	0.1967302599
28	0.1934077488
29	0.1902182691
30	0.1875519637
31	0.1851641417
32	0.1822122806
33	0.1796097206
34	0.1769053918
35	0.1743035296
36	0.171877241
37	0.1696532567
38	0.1674754208
39	0.1657663865
40	0.1639966775
41	0.1622084496
42	0.1603056165
43	0.1586171357
44	0.1570654948
45	0.1553415633
46	0.1538461316
47	0.1522388238
48	0.1507325347
49	0.1494466387
50	0.1480643307
51	0.1466364688
52	0.1454584974
53	0.1441357959
54	0.1430865822
55	0.1413340891
56	0.1401930917
57	0.1389647828
58	0.1376075041
59	0.1368332321
60	0.1358708256
61	0.1350233075
62	0.1340975116
63	0.1331482089
64	0.1322940713
65	0.1314129621
66	0.1305955685
67	0.1297620643
68	0.1289763696
69	0.1281864865
70	0.1273840533
71	0.1265751797
72	0.126082734
73	0.1254582945
74	0.1245775332
75	0.1238352188
76	0.1231925719
77	0.1223452043
78	0.1219091918
79	0.1213709847
80	0.1207206472
81	0.1200568457
82	0.1195344136
83	0.1188374571
84	0.1180001547
85	0.1176520426
86	0.1171262092
87	0.1166677571
88	0.1161039662
89	0.1154643814
90	0.1151132973
91	0.1147055435
92	0.1143281507
93	0.1139275893
94	0.1134319911
95	0.1128550397
96	0.1124645949
97	0.1120496349
98	0.1115835175
99	0.1111321566
100	0.11057501
101	0.1102497576
102	0.1098566709
103	0.1093508344
104	0.1089986408
105	0.1085743731
106	0.1081509836
107	0.1076241308
108	0.1073625456
109	0.106983775
110	0.1066503151
111	0.1062310959
112	0.1058303378
113	0.1053677084
114	0.1050565356
115	0.1047503493
116	0.10440746
117	0.1041213063
118	0.103890771
119	0.1036659184
120	0.1034104607
121	0.1031016618
122	0.1028990612
123	0.102807711
124	0.1025936648
125	0.1022897532
126	0.1018767527
127	0.1015213093
128	0.1013388221
129	0.1012011003
130	0.1007515377
131	0.1004928043
132	0.100221487
133	0.09986058628
134	0.09951496719
135	0.09928040706
136	0.09907001312
137	0.09878640094
138	0.09845333304
139	0.09823079488
140	0.09791718624
141	0.09768501741
142	0.09749782626
143	0.0972446871
144	0.09688808723
145	0.09658020192
146	0.09639821036
147	0.09603876787
148	0.0958088563
149	0.0954839809
150	0.0952213061
151	0.09506026594
152	0.094833535
153	0.09453098447
154	0.09425030239
155	0.09400223126
156	0.09376769456
157	0.09354291011
158	0.09325545891
159	0.09296723521
160	0.0926975474
161	0.0924844307
162	0.09232371397
163	0.09202791374
164	0.09179006879
165	0.09159386613
166	0.09147906598
167	0.09126296984
168	0.09115424384
169	0.09087945446
170	0.09074929108
171	0.09054944914
172	0.0902192714
173	0.08998890094
